angle	proj	target
20	0.092	0.008
21	0.091	0.009
22	0.091	0.009
23	0.091	0.010
24	0.091	0.011
25	0.090	0.012
26	0.090	0.013
27	0.090	0.013
28	0.090	0.014
29	0.089	0.015
30	0.089	0.015
31	0.089	0.016
32	0.088	0.017
33	0.088	0.017
34	0.088	0.018
35	0.087	0.018
36	0.087	0.019
37	0.087	0.019
38	0.086	0.020
39	0.086	0.020
40	0.086	0.021
41	0.085	0.022
42	0.085	0.022
43	0.084	0.023
44	0.084	0.023
45	0.084	0.024
46	0.083	0.024
47	0.083	0.025
48	0.082	0.025
49	0.082	0.026
50	0.081	0.026
51	0.081	0.027
52	0.081	0.027
53	0.080	0.028
54	0.080	0.028
55	0.079	0.028
56	0.079	0.029
57	0.078	0.029
58	0.078	0.030
59	0.077	0.030
60	0.077	0.031
61	0.076	0.031
62	0.076	0.032
63	0.075	0.032
64	0.075	0.032
65	0.074	0.033
66	0.074	0.033
67	0.073	0.034
68	0.072	0.034
69	0.072	0.034
70	0.071	0.035
71	0.071	0.035
72	0.070	0.035
73	0.069	0.036
74	0.069	0.036
75	0.068	0.036
76	0.067	0.037
77	0.067	0.037
78	0.066	0.037
79	0.065	0.038
80	0.064	0.038
81	0.063	0.038
82	0.062	0.039
83	0.061	0.039
84	0.059	0.039
85	0.057	0.039
86	0.054	0.040
87	0.049	0.040
88	0.039	0.040
89	0.011	0.041
90	0.000	0.041
91	0.010	0.041
92	0.037	0.041
93	0.046	0.042
94	0.050	0.042
95	0.052	0.042
96	0.053	0.042
97	0.054	0.042
98	0.055	0.043
99	0.055	0.043
100	0.055	0.043
101	0.055	0.043
102	0.055	0.043
103	0.055	0.044
104	0.055	0.044
105	0.055	0.044
106	0.055	0.044
107	0.054	0.044
108	0.054	0.045
109	0.054	0.045
110	0.054	0.045
111	0.053	0.045
112	0.053	0.045
113	0.053	0.045
114	0.053	0.046
115	0.052	0.046
116	0.052	0.046
117	0.052	0.046
118	0.052	0.046
119	0.051	0.046
120	0.051	0.046
121	0.051	0.047
122	0.050	0.047
123	0.050	0.047
124	0.050	0.047
125	0.050	0.047
126	0.050	0.047
127	0.049	0.047
128	0.049	0.047
129	0.049	0.047
130	0.049	0.047
131	0.048	0.047
132	0.048	0.048
133	0.048	0.048
134	0.048	0.048
135	0.047	0.048
136	0.047	0.048
137	0.047	0.048
138	0.047	0.048
139	0.047	0.048
140	0.047	0.048
141	0.046	0.048
142	0.046	0.049
143	0.046	0.049
144	0.046	0.049
145	0.046	0.049
146	0.046	0.049
147	0.045	0.049
148	0.045	0.049
149	0.045	0.049
150	0.045	0.049
151	0.045	0.049
152	0.045	0.049
153	0.045	0.049
154	0.044	0.049
155	0.044	0.049
156	0.044	0.049
157	0.044	0.049
158	0.044	0.049
159	0.044	0.049
160	0.044	0.049
